1,100,2.58111,0
2,98.3461,3.80921,0
3,98.9221,2.45053,0
4,98.06,5.39789,0
5,99.4179,3.30316,0
6,91.3759,0.927711,0
7,99.3676,5.12353,0
8,100,7.50889,0
9,100,7.62951,0
10,99.9608,6.1549,0
11,90.0634,8.2338,0
12,96.1642,5.42421,0
13,94.3161,3.05591,0
14,93.7937,2.81789,0
15,99.8253,2.65053,0
16,100,1.04526,0
17,99.8443,-1.1459,0
18,95.1397,-1.14853,0
19,92.2221,-1.01579,0
20,92.8263,-1.59579,0
21,93.0116,-2.13053,0
22,97.4589,-1.63474,0
23,100,-0.137895,0
24,100,1.86316,0
25,100,-1.14526,0
26,100,-1.57579,0
27,98.3232,1.14632,0
28,98.8979,5.99368,0
29,98.2453,5.86316,0
30,100,6.85158,0
31,100,4.8421,0
32,100,8.6,0
33,98.2853,10.275,0
34,96.24,8.84105,0
35,100,5.12947,0
36,100,4.48105,14.94
37,100,6.11099,22.38
38,100,5.36842,34.47
39,100,4.15275,52.46
40,100,2.03012,53.31
41,99.6842,0.441053,55.03
42,100,0.372632,56.98
43,99.8884,2.18632,57.7
44,95.161,4.40842,57.89
45,93.3568,6.65474,59.49
46,97.3768,8.24421,51.67
47,78.2158,2.5821,52.75
48,72.2463,1.04105,54.64
49,83.9431,2.06421,56.79
50,79.6769,3.92632,65.04
51,89.1948,9.0979,67.28
52,89.2874,10.3358,67.62
53,89.4968,8.11368,67.69
54,83.7526,4.89474,67.94
55,83.8242,4.11895,68.26
56,84.1779,2.82105,68.28
57,78.0874,3.41158,68.4
58,66.6011,3.27053,68.57
59,62.46,4.02211,68.72
60,71.2853,4.14947,68.86
61,86.799,5.74632,68.94
62,74.0316,6.39263,68.97
63,79.8032,5.14316,64.95
64,77.4821,5.05263,59.97
65,86.5126,2.76737,61.27
66,81.7558,4.25368,62.14
67,82.779,3.45895,62.99
68,74.9505,5.45263,63.19
69,84.1906,5.16737,61.99
70,78.9926,5.86,58.42
71,83.4135,4.10521,59.07
72,82.3442,4.0579,61.33
73,78.9484,4.19579,67.09
74,73.1684,4.52211,70.97
75,81.0053,4.62316,71.3
76,70.3853,6.45474,71.3
77,73.0737,4.92526,71.3
78,85.3758,5.41579,71.3
79,79.4295,6.20632,71.3
80,78.9042,6.8821,71.17
81,75.9146,8.49792,47.63
82,75.179,7.55368,23.45
83,74.8726,8.46,23.36
84,79.3295,8.55684,23.36
85,79.8726,8.76211,23.36
